,id,year,doy,longitude,latitude,grid10k,covertype,fuelcode,area_burned,prefire_fuel,consumed_fuel,ECO2,ECO,ECH4,EPM2.5,cwd_frac,duff_frac,fuel_moisture_class,burn_source,burnday_source,BSEV,BSEV_flag
5410927,283231,2005,205,-120.2196,45.8259,115299,2,2,62500.0,351.38961,316.250649,530.352338,22.137545000000006,0.8475520000000001,3.225757,0.0,0.0,2,1,15,2,0
5411024,283328,2005,205,-120.2546,45.8218,115299,2,2,62500.0,347.354514,312.619063,524.262168,21.883334,0.8378190000000001,3.188714,0.0,0.0,2,1,15,2,0
5411025,283329,2005,205,-120.2515,45.8224,115299,2,2,62500.0,140.331672,126.298505,211.80259300000003,8.840895,0.33848,1.288245,0.0,0.0,2,1,15,2,0
5411026,283330,2005,205,-120.2484,45.8229,115299,1,1,62500.0,118.026558,109.764699,184.0754,7.683528999999999,0.294169,1.1196,0.0,0.0,2,1,15,2,0
5411027,283331,2005,205,-120.2391,45.8246,115299,1,1,62500.0,80.253576,74.635826,125.16428,5.224508,0.200024,0.761285,0.0,0.0,2,1,15,2,0
5411028,283332,2005,205,-120.236,45.8252,115299,1,1,62500.0,101.99826,94.858382,159.077506,6.6400869999999985,0.25422,0.967555,0.0,0.0,2,1,15,2,0
5411029,283333,2005,205,-120.2328,45.8258,115299,2,2,0.0,364.055328,327.6497950000001,549.468707,22.935486,0.878101,3.342028,0.0,0.0,2,1,15,1,0
5411030,283334,2005,205,-120.2297,45.8263,115299,1,1,62500.0,132.82191,123.524376,207.150379,8.646706,0.331045,1.259949,0.0,0.0,2,1,15,2,0
5411031,283335,2005,205,-120.2266,45.8269,115299,2,2,62500.0,370.44423,333.399807,559.1114759999998,23.337986,0.893511,3.400678,0.0,0.0,2,1,15,2,0
5411032,283336,2005,205,-120.2235,45.8275,115299,1,1,62500.0,138.538296,128.840615,216.065712,9.018843,0.345293,1.314174,0.0,0.0,2,1,15,2,0
5411033,283337,2005,205,-120.2204,45.828,115299,1,1,62500.0,133.606512,124.254056,208.374052,8.697784,0.33300100000000005,1.267391,0.0,0.0,2,1,15,2,0
5411121,283425,2005,206,-120.2461,45.8257,115299,2,2,0.0,352.734642,317.461178,532.382395,22.222282,0.8507959999999999,3.238104,0.0,0.0,2,1,15,1,0
5411122,283426,2005,205,-120.243,45.8263,115299,1,1,62500.0,132.48565200000002,123.211656,206.625948,8.624816000000001,0.33020700000000003,1.256759,0.0,0.0,2,1,15,2,0
5411123,283427,2005,205,-120.2399,45.8268,115299,1,1,62500.0,98.971938,92.043902,154.357624,6.443073,0.246678,0.938848,0.0,0.0,2,1,15,2,0
5411124,283428,2005,205,-120.2368,45.8274,115299,2,2,0.0,514.2505679999998,462.825511,776.1583820000002,32.397786,1.240372,4.72082,0.0,0.0,2,1,15,1,0
5411125,283429,2005,205,-120.2337,45.828,115299,1,1,62500.0,116.457354,108.305339,181.628054,7.581374,0.290258,1.104714,0.0,0.0,2,1,15,2,0
5411126,283430,2005,205,-120.2305,45.8285,115299,1,1,0.0,132.037308,122.794696,205.926706,8.595628999999999,0.32909,1.252506,0.0,0.0,2,1,15,1,0
5411127,283431,2005,205,-120.2274,45.8291,115299,2,2,62500.0,379.186938,341.268244,572.306846,23.888777,0.914599,3.4809360000000003,0.0,0.0,2,1,15,2,0
5411128,283432,2005,205,-120.2243,45.8297,115299,1,1,0.0,128.114298,119.146297,199.80834,8.340241,0.319312,1.215292,0.0,0.0,2,1,15,1,0
5411129,283433,2005,205,-120.2212,45.8302,115299,2,2,0.0,375.376014,337.838413,566.555018,23.648689,0.905407,3.445952,0.0,0.0,2,1,15,1,0
5411211,283515,2005,206,-120.2469,45.8279,115299,1,1,62500.0,131.028534,121.85653700000002,204.353412,8.529958,0.32657600000000003,1.2429370000000002,0.0,0.0,2,1,15,2,0
5411212,283516,2005,205,-120.2438,45.8284,115299,2,2,62500.0,392.637258,353.373532,592.607413,24.736147,0.947041,3.60441,0.0,0.0,2,1,15,2,0
5411213,283517,2005,205,-120.2407,45.82899999999999,115299,2,2,0.0,374.36724,336.930516,565.032475,23.585136,0.902974,3.436691,0.0,0.0,2,1,15,1,0
5411214,283518,2005,205,-120.2376,45.8296,115299,1,1,62500.0,124.079202,115.393658,193.515164,8.077556,0.309255,1.177015,0.0,0.0,2,1,15,2,0
5411215,283519,2005,205,-120.2345,45.8301,115299,1,1,62500.0,106.593786,99.132221,166.24473500000005,6.939255,0.265674,1.011149,0.0,0.0,2,1,15,2,0
5411216,283520,2005,205,-120.2314,45.8307,115299,1,1,62500.0,141.116274,131.238135,220.086352,9.186669,0.351718,1.338629,0.0,0.0,2,1,15,2,0
5411217,283521,2005,205,-120.2282,45.8313,115299,1,1,62500.0,142.237134,132.280535,221.834457,9.259637,0.354512,1.349261,0.0,0.0,2,1,15,2,0
5411218,283522,2005,205,-120.2251,45.8318,115299,1,1,62500.0,145.375542,135.199254,226.72914900000004,9.463948,0.362334,1.379032,0.0,0.0,2,1,15,2,0
5411294,283598,2005,206,-120.2508,45.8295,115299,1,1,62500.0,134.727372,125.296456,210.122157,8.770752,0.33579499999999995,1.278024,0.0,0.0,2,1,15,2,0
5411295,283599,2005,206,-120.2477,45.83,115299,2,2,62500.0,387.369216,348.632294,584.656358,24.404261,0.934335,3.556049,0.0,0.0,2,1,15,2,0
5411296,283600,2005,206,-120.2446,45.8306,115299,2,2,62500.0,340.18101,306.162909,513.435198,21.431404,0.820517,3.122862,0.0,0.0,2,1,15,2,0
5411297,283601,2005,205,-120.2415,45.8312,115299,2,2,62500.0,370.332144,333.29893,558.942305,23.330925,0.893241,3.399649,0.0,0.0,2,1,15,2,0
5411298,283602,2005,205,-120.2384,45.8317,115299,1,1,62500.0,143.133822,133.114454,223.23294,9.318012,0.356747,1.357767,0.0,0.0,2,1,15,2,0
5411299,283603,2005,205,-120.2353,45.8323,115299,2,2,62500.0,529.830522,476.84747,799.673207,33.379323,1.277951,4.863844,0.0,0.0,2,1,15,2,0
5411300,283604,2005,205,-120.2322,45.8329,115299,1,1,62500.0,146.83266,136.554374,229.001685,9.558806,0.365966,1.392855,0.0,0.0,2,1,15,2,0
5411301,283605,2005,205,-120.2291,45.8334,115299,1,1,62500.0,156.584142,145.623252,244.210194,10.193628,0.39027,1.485357,0.0,0.0,2,1,15,2,0
5411302,283606,2005,205,-120.2259,45.833999999999996,115299,1,1,0.0,168.016914,156.25573,262.040859,10.937901,0.418765,1.593808,0.0,0.0,2,1,15,1,0
5411377,283681,2005,206,-120.2516,45.8317,115299,1,1,62500.0,154.11825,143.329972,240.364364,10.033098,0.384124,1.461966,0.0,0.0,2,1,15,2,0
5411378,283682,2005,206,-120.2485,45.8322,115299,1,1,62500.0,135.736146,126.234616,211.695451,8.836423,0.338309,1.287593,0.0,0.0,2,1,15,2,0
5411379,283683,2005,206,-120.2454,45.8328,115299,1,1,62500.0,128.33847,119.354777,200.157961,8.354834,0.319871,1.217419,0.0,0.0,2,1,15,2,0
5411380,283684,2005,205,-120.2423,45.8334,115299,2,2,62500.0,372.12552,334.9129680000001,561.649047,23.443908,0.897567,3.4161120000000005,0.0,0.0,2,1,15,2,0
5411381,283685,2005,205,-120.2392,45.8339,115299,1,1,62500.0,145.7118,135.511974,227.25358,9.485838,0.363172,1.3822219999999998,0.0,0.0,2,1,15,2,0
5411382,283686,2005,205,-120.2361,45.8345,115299,1,1,62500.0,150.19523999999996,139.681573,234.245998,9.77771,0.374347,1.424752,0.0,0.0,2,1,15,2,0
5411383,283687,2005,205,-120.23299999999999,45.8351,115299,1,1,62500.0,135.39988799999998,125.921896,211.171019,8.814533,0.337471,1.284403,0.0,0.0,2,1,15,2,0
5411384,283688,2005,205,-120.2299,45.8356,115299,1,1,62500.0,157.929174,146.874132,246.307919,10.281189,0.393623,1.498116,0.0,0.0,2,1,15,2,0
5411385,283689,2005,205,-120.2268,45.8362,115299,1,1,62500.0,149.858982,139.368853,233.721567,9.75582,0.373509,1.421562,0.0,0.0,2,1,15,2,0
5411452,283756,2005,206,-120.2556,45.8333,115299,1,1,62500.0,159.386292,148.229252,248.580455,10.376048,0.397254,1.511938,0.0,0.0,2,1,15,2,0
5411453,283757,2005,206,-120.2525,45.8338,115299,1,1,62500.0,144.142596,134.05261399999998,224.806234,9.383683,0.359261,1.367337,0.0,0.0,2,1,15,2,0
5411454,283758,2005,206,-120.2493,45.8344,115299,2,2,62500.0,337.3788600000001,303.640974,509.205913,21.254868,0.813758,3.097138,0.0,0.0,2,1,15,2,0
5411455,283759,2005,206,-120.2462,45.835,115299,1,1,62500.0,108.38716200000002,100.800061,169.04170200000004,7.056004,0.270144,1.028161,0.0,0.0,2,1,15,2,0
5411456,283760,2005,205,-120.2431,45.8355,115299,1,1,62500.0,135.287802,125.817656,210.996209,8.807236,0.337191,1.28334,0.0,0.0,2,1,15,2,0
5411457,283761,2005,205,-120.24,45.8361,115299,1,1,0.0,169.025688,157.19388999999995,263.614153,11.003572,0.42128,1.603378,0.0,0.0,2,1,15,1,0
5411458,283762,2005,205,-120.2369,45.8367,115299,1,1,62500.0,145.487628,135.303494,226.90396,9.471245,0.362613,1.380096,0.0,0.0,2,1,15,2,0
5411459,283763,2005,205,-120.2338,45.8372,115299,1,1,62500.0,144.703026,134.573814,225.680286,9.420167,0.360658,1.372653,0.0,0.0,2,1,15,2,0
5411460,283764,2005,205,-120.2307,45.8378,115299,1,1,62500.0,137.529522,127.902455,214.492418,8.953172,0.342779,1.304605,0.0,0.0,2,1,15,2,0
5411461,283765,2005,205,-120.2276,45.8384,115299,2,2,62500.0,516.268116,464.641304,779.203467,32.524891,1.245239,4.7393410000000005,0.0,0.0,2,1,15,2,0
5411462,283766,2005,205,-120.2245,45.8389,115299,1,1,0.0,100.541142,93.503262,156.80497,6.545228,0.250589,0.953733,0.0,0.0,2,1,15,1,0
5411527,283831,2005,206,-120.2595,45.8349,115299,1,1,62500.0,167.00814,155.31757,260.467565,10.87223,0.416251,1.584239,0.0,0.0,2,1,15,2,0
5411528,283832,2005,206,-120.2564,45.8354,115299,1,1,62500.0,157.032486,146.04021200000003,244.909435,10.222815,0.391388,1.48961,0.0,0.0,2,1,15,2,0
